Date,Actual,Predicted,Error,Absolute_Error
01-01-2024,25270.1875,26936.803,-1666.615234,1666.615234
02-01-2024,29282.125,27882.168,1399.957031,1399.957031
03-01-2024,30733.4375,29529.34,1204.097656,1204.097656
04-01-2024,32170.625,31796.584,374.0410156,374.0410156
05-01-2024,32196.08333,32690.133,-494.0494792,494.0494792
06-01-2024,29717.125,29621.066,96.05859375,96.05859375
07-01-2024,30667.85417,29722.557,945.297526,945.297526
08-01-2024,35312.75,33998.5,1314.25,1314.25
09-01-2024,34623.75,35389.324,-765.5742188,765.5742188
10-01-2024,34561.10417,34994.17,-433.0677083,433.0677083
11-01-2024,34720.10417,35349.84,-629.7356771,629.7356771
12-01-2024,34819.75,35096.914,-277.1640625,277.1640625
13-01-2024,31265.125,32094.908,-829.7832031,829.7832031
14-01-2024,30774.29167,31210.867,-436.5755208,436.5755208
15-01-2024,34972.60417,34503.875,468.7291667,468.7291667
16-01-2024,36320.39583,35934.754,385.6419271,385.6419271
17-01-2024,37011.625,36025.707,985.9179688,985.9179688
18-01-2024,36743.25,36259.01,484.2382813,484.2382813
19-01-2024,34868.125,34738.76,129.3632813,129.3632813
20-01-2024,29799.54167,30731.645,-932.1028646,932.1028646
21-01-2024,27934.125,28083.457,-149.3320313,149.3320313
22-01-2024,30080.66667,30499.447,-418.780599,418.780599
23-01-2024,31669.27083,31414.307,254.9641927,254.9641927
24-01-2024,30493.8125,29899.727,594.0859375,594.0859375
25-01-2024,31169.79167,30231.664,938.1276042,938.1276042
26-01-2024,28675.77083,28328.602,347.1692708,347.1692708
27-01-2024,28169.25,27726.123,443.1269531,443.1269531
28-01-2024,27034.20833,26248.004,786.2044271,786.2044271
29-01-2024,31759.70833,30940.576,819.1321615,819.1321615
30-01-2024,31879.04167,31482.475,396.5670573,396.5670573
31-01-2024,31378.41667,30863.953,514.4635417,514.4635417
01-02-2024,31315,30903.688,411.3125,411.3125
02-02-2024,28845.70833,29060.797,-215.0885417,215.0885417
03-02-2024,25840.77083,25616.326,224.4446615,224.4446615
04-02-2024,25246.4375,24464.346,782.0917969,782.0917969
05-02-2024,28632.20833,28487.723,144.4856771,144.4856771
06-02-2024,29431.39583,28517.818,913.577474,913.577474
07-02-2024,33116.3125,31285.6,1830.712891,1830.712891
08-02-2024,32825.22917,31882.355,942.8736979,942.8736979
09-02-2024,31042.29167,29978.057,1064.235026,1064.235026
10-02-2024,28594.45833,27443.447,1151.011068,1151.011068
11-02-2024,27996.125,27616.938,379.1875,379.1875
12-02-2024,29320.83333,30826.94,-1506.10612,1506.10612
13-02-2024,31827.77083,31207.732,620.0384115,620.0384115
14-02-2024,30909.70833,31550.459,-640.750651,640.750651
15-02-2024,29400.20833,30621.49,-1221.281901,1221.281901
16-02-2024,28844.3125,29582.428,-738.1152344,738.1152344
17-02-2024,26685.9375,27121.324,-435.3867188,435.3867188
18-02-2024,25572.95833,26469.68,-896.7213542,896.7213542
19-02-2024,28103.97917,29005.146,-901.1673177,901.1673177
20-02-2024,28581.35417,28376.914,204.4401042,204.4401042
21-02-2024,29503.75,28764.092,739.6582031,739.6582031
22-02-2024,30594.125,29924.537,669.5878906,669.5878906
23-02-2024,30962.5625,30472.73,489.8320313,489.8320313
24-02-2024,29028.58333,28769.05,259.5325521,259.5325521
25-02-2024,28598.1875,28512.771,85.41601563,85.41601563
26-02-2024,31314.66667,30746.182,568.485026,568.485026
27-02-2024,31939.375,31906.623,32.75195313,32.75195313
28-02-2024,31472.20833,31112.047,360.1614583,360.1614583
29-02-2024,30709.91667,31006.223,-296.3059896,296.3059896
01-03-2024,31261.14583,31040.072,221.0735677,221.0735677
02-03-2024,29603,29155.791,447.2089844,447.2089844
03-03-2024,28658.97917,28434.97,224.0084635,224.0084635
04-03-2024,30915.97917,30347.844,568.1354167,568.1354167
05-03-2024,31362.375,31262.096,100.2792969,100.2792969
06-03-2024,31121.85417,31308.107,-186.2532552,186.2532552
07-03-2024,30933.10417,30611.088,322.016276,322.016276
08-03-2024,28575.16667,29279.379,-704.2122396,704.2122396
09-03-2024,26243.02083,25858.146,384.874349,384.874349
10-03-2024,27339.8125,27197.598,142.2148438,142.2148438
11-03-2024,32304.10417,31655.15,648.953776,648.953776
12-03-2024,31147.52083,31310.857,-163.3365885,163.3365885
13-03-2024,28170.64583,28344.398,-173.7526042,173.7526042
14-03-2024,28907.1875,28799.031,108.15625,108.15625
15-03-2024,27308.20833,27898.812,-590.6041667,590.6041667
16-03-2024,26481.47917,26092.174,389.3053385,389.3053385
17-03-2024,25590.16667,25499.492,90.67447917,90.67447917
18-03-2024,27231.375,27423.457,-192.0820313,192.0820313
19-03-2024,27568.3125,27788.57,-220.2578125,220.2578125
20-03-2024,28990.91667,28863.469,127.4479167,127.4479167
21-03-2024,27043.6875,27038.14,5.546875,5.546875
22-03-2024,25949.41667,25769.295,180.1217448,180.1217448
23-03-2024,22848.70833,23075.416,-226.7076823,226.7076823
24-03-2024,23923.08333,22805.25,1117.833333,1117.833333
25-03-2024,29342.5625,28696.951,645.6113281,645.6113281
26-03-2024,28847.89583,28501.596,346.3001302,346.3001302
27-03-2024,28054.27083,27564.205,490.0657552,490.0657552
28-03-2024,27897.08333,27354.564,542.5188802,542.5188802
29-03-2024,24597.16667,25159.607,-562.4407552,562.4407552
30-03-2024,23127.04167,23170.63,-43.58919271,43.58919271
31-03-2024,23438.17391,22849.11,589.064538,589.064538
01-04-2024,23873.45833,26643.275,-2769.817057,2769.817057
02-04-2024,27509.1875,26785.809,723.3789063,723.3789063
03-04-2024,27190.25,26221.123,969.1269531,969.1269531
04-04-2024,27808.83333,26749.75,1059.083333,1059.083333
05-04-2024,24448.41667,24324.574,123.8424479,123.8424479
06-04-2024,20943.20833,21004.434,-61.22526042,61.22526042
07-04-2024,20307.52083,19846.773,460.7473958,460.7473958
08-04-2024,26016.91667,24614.768,1402.149089,1402.149089
09-04-2024,26207.54167,24690.469,1517.072917,1517.072917
10-04-2024,27443.45833,26130.15,1313.307943,1313.307943
11-04-2024,25528.41667,25047.639,480.7779948,480.7779948
12-04-2024,23615.20833,22947.756,667.452474,667.452474
13-04-2024,21056.25,19987.98,1068.269531,1068.269531
14-04-2024,21133.54167,20146.344,987.1979167,987.1979167
15-04-2024,23956.97917,23325.45,631.5299479,631.5299479
16-04-2024,25538.02083,24493.88,1044.139974,1044.139974
17-04-2024,26340.27083,25439.879,900.3919271,900.3919271
18-04-2024,26210.72917,25471.826,738.9029948,738.9029948
19-04-2024,25356.5625,24235.3,1121.261719,1121.261719
20-04-2024,23774.1875,22730.05,1044.136719,1044.136719
21-04-2024,23745.4375,22812.041,933.3964844,933.3964844
22-04-2024,28830.9375,28428.338,402.5996094,402.5996094
23-04-2024,27585.0625,28108.809,-523.7460938,523.7460938
24-04-2024,27303.64583,27488.83,-185.1842448,185.1842448
25-04-2024,28572.41667,28674.104,-101.686849,101.686849
26-04-2024,27492.33333,27264.002,228.3313802,228.3313802
27-04-2024,25609.5,25197.81,411.6894531,411.6894531
28-04-2024,24109.16667,23863.518,245.6490885,245.6490885
29-04-2024,24598.3125,25549.627,-951.3144531,951.3144531
30-04-2024,24223,25130.648,-907.6484375,907.6484375
01-05-2024,26058.22917,25858.043,200.1861979,200.1861979
02-05-2024,25177.41667,25569.076,-391.6595052,391.6595052
03-05-2024,26198.47917,26370.893,-172.4134115,172.4134115
04-05-2024,22221.58333,23701.008,-1479.424479,1479.424479
05-05-2024,21925.08333,22312.725,-387.641276,387.641276
06-05-2024,23055.375,23700.521,-645.1464844,645.1464844
07-05-2024,24530.08333,24999.262,-469.1783854,469.1783854
08-05-2024,23959.10417,24627.834,-668.7298177,668.7298177
09-05-2024,23330.16667,23984.605,-654.4388021,654.4388021
10-05-2024,22996.85417,23975.295,-978.4407552,978.4407552
11-05-2024,19810.41667,19815.807,-5.389973958,5.389973958
12-05-2024,19770.5625,19632.795,137.7675781,137.7675781
13-05-2024,23310.14583,22877.125,433.0208333,433.0208333
14-05-2024,24517.25,24635.709,-118.4589844,118.4589844
15-05-2024,24224.79167,23996.791,228.000651,228.000651
16-05-2024,25419.3125,25179.842,239.4707031,239.4707031
17-05-2024,23530.70833,23436.826,93.88216146,93.88216146
18-05-2024,21502.5625,21062.385,440.1777344,440.1777344
19-05-2024,19498.97917,19576.248,-77.26888021,77.26888021
20-05-2024,22900.29167,22706.154,194.1373698,194.1373698
21-05-2024,25088.29167,25151.879,-63.58723958,63.58723958
22-05-2024,25399.875,25770.791,-370.9160156,370.9160156
23-05-2024,23846.10417,23825.1,21.00455729,21.00455729
24-05-2024,24585.47917,23953.76,631.719401,631.719401
25-05-2024,20707.0625,20643.484,63.578125,63.578125
26-05-2024,20165.02083,20294.428,-129.406901,129.406901
27-05-2024,19933.75,20841.002,-907.2519531,907.2519531
28-05-2024,24262.33333,24869.596,-607.2623698,607.2623698
29-05-2024,23136.125,23177.936,-41.81054688,41.81054688
30-05-2024,23010.3125,23197.184,-186.8710938,186.8710938
31-05-2024,22674.29167,22817.064,-142.7727865,142.7727865
01-06-2024,20491.60417,20106.723,384.8815104,384.8815104
02-06-2024,18768.95833,19073.809,-304.8502604,304.8502604
03-06-2024,23469.04167,22245.674,1223.367839,1223.367839
04-06-2024,23398.75,23360.795,37.95507813,37.95507813
05-06-2024,21873.25,21706.688,166.5625,166.5625
06-06-2024,22948.66667,22150.475,798.1920573,798.1920573
07-06-2024,22025.5625,21334.455,691.1074219,691.1074219
08-06-2024,19203.47917,18782.422,421.0572917,421.0572917
09-06-2024,19691.89583,19377.316,314.5794271,314.5794271
10-06-2024,22529.375,22098.541,430.8339844,430.8339844
11-06-2024,24413.77083,23353.576,1060.194661,1060.194661
12-06-2024,25031.83333,23938.186,1093.647786,1093.647786
13-06-2024,24530.54167,23733.797,796.7447917,796.7447917
14-06-2024,23034.72917,22557.648,477.0807292,477.0807292
15-06-2024,21354.5625,20435.69,918.8730469,918.8730469
16-06-2024,19909.25,19411.035,498.2148438,498.2148438
17-06-2024,23019.39583,22644.625,374.7708333,374.7708333
18-06-2024,23779.29167,23382.586,396.7057292,396.7057292
19-06-2024,23043.66667,23034.137,9.529947917,9.529947917
20-06-2024,22952.83333,23443.125,-490.2916667,490.2916667
21-06-2024,21725.27083,21509.297,215.9739583,215.9739583
22-06-2024,19933.0625,19965.625,-32.5625,32.5625
23-06-2024,20552.77083,19745.986,806.7845052,806.7845052
24-06-2024,24146.75,23735.9,410.8496094,410.8496094
25-06-2024,24223.39583,24798.719,-575.3229167,575.3229167
26-06-2024,23949.1875,24000.807,-51.61914063,51.61914063
27-06-2024,21380.14583,21727.953,-347.8072917,347.8072917
28-06-2024,20677.20833,20310.52,366.6888021,366.6888021
29-06-2024,20114.9375,19336.236,778.7011719,778.7011719
30-06-2024,20919.0625,20535.19,383.8730469,383.8730469
01-07-2024,23642.27083,23396.28,245.9915365,245.9915365
02-07-2024,23695.8125,23188.24,507.5722656,507.5722656
03-07-2024,23809.25,23728.121,81.12890625,81.12890625
04-07-2024,20643.04167,20841.723,-198.6809896,198.6809896
05-07-2024,23019.70833,21644.174,1375.534505,1375.534505
